LON,LAT,VARIABLE,TYPE,NAME,Name_Database,Paper_Database,Code_Proxy,Reference_Proxy,Reference_Proxy_Database
7.367,47.1167,historical_proxy,documentary_proxy,Swiss_precip_index_(Pfister)_OCTDOCU_PRECIPITATION,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Pfister 1992,NA
7.367,47.1167,historical_proxy,documentary_proxy,Swiss_temp_index_(Pfister)_OCTTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Pfister 1992,NA
-4.7278,37.5443,historical_proxy,documentary_proxy,Andalusia_SON_precip_indexDOCU_PRECIPITATION,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Rodrigo et al. 1999; Rodrigo et al. 2000,NA
11,48.5,historical_proxy,documentary_proxy,Central_Europe_(Czech_Lands)_temp_index_(Dorbovolny)_NOVTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Dobrovolny et al. 2010,NA
10,51,historical_proxy,documentary_proxy,Central_Europe_(Germany)_temp_index_(GlaserRiemann)_NOVTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Glaser and Riemann 2009,NA
11,44,natural_proxy,documentary_proxy,Northern_Italy_TRecon_SONTRecon,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Camuffo et al. 2010,NA
19.45,51.77,natural_proxy,documentary_proxy,Poland_TRecon_NovTRecon,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Klimat Krakowa w XX wieku 2007,NA
7.367,47.1167,historical_proxy,documentary_proxy,Swiss_precip_index_(Pfister)_NOVDOCU_PRECIPITATION,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Pfister 1992,NA
7.367,47.1167,historical_proxy,documentary_proxy,Swiss_temp_index_(Pfister)_NOVTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Pfister 1992,NA
14,42.5,natural_proxy,documentary_proxy,Western_Mediterranean_TRecon_SONTRecon,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Camuffo et al. 2010,NA
14,47.5,historical_proxy,documentary_proxy,WesternMediterraneanRainfallONDOCU_PRECIPITATION,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Camuffo et al. 2010,NA
11,48.5,historical_proxy,documentary_proxy,Central_Europe_(Czech_Lands)_temp_index_(Dorbovolny)_DECTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Dobrovolny et al. 2010,NA
10,51,historical_proxy,documentary_proxy,Central_Europe_(Germany)_temp_index_(GlaserRiemann)_DECTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Glaser and Riemann 2009,NA
19.45,51.77,natural_proxy,documentary_proxy,Poland_TRecon_DecTRecon,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Klimat Krakowa w XX wieku 2007,NA
7.367,47.1167,historical_proxy,documentary_proxy,Swiss_precip_index_(Pfister)_DECDOCU_PRECIPITATION,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Pfister 1992,NA
7.367,47.1167,historical_proxy,documentary_proxy,Swiss_temp_index_(Pfister)_DECTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Pfister 1992,NA
11,48.5,historical_proxy,documentary_proxy,Central_Europe_(Czech_Lands)_temp_index_(Dorbovolny)_JANTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Dobrovolny et al. 2010,NA
10,51,historical_proxy,documentary_proxy,Central_Europe_(Germany)_temp_index_(GlaserRiemann)_JANTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Glaser and Riemann 2009,NA
